filename,optimal,optimizerOnly,topDown,bottomUp,euclidean,horizontal,hop,topDownPlus,bottomUpPlus,euclideanPlus,horizontalPlus,hopPlus
cluster-n35-c5-r3-s-3668721473601085579.json,89,90,131,92,97,111,117,89,90,90,90,90
cluster-n35-c5-r4-s1366435223448741313.json,58,58,77,59,59,74,70,58,58,58,58,58
cluster-n35-c5-r5-s3561711560546787690.json,67,69,98,67,69,85,78,67,67,67,67,67
cluster-n35-c5-r6-s5887712648313437491.json,92,93,175,92,92,95,105,93,92,92,92,94
cluster-n35-c5-r7-s-7552446059988885172.json,44,45,50,50,47,53,55,45,45,45,44,44
cluster-n35-c5-r8-s-229352131725306972.json,142,142,190,144,144,193,180,144,144,144,148,142
cluster-n35-c5-r9-s-3466677631057524513.json,74,78,112,74,74,94,85,74,74,74,75,74
cluster-n40-c6-r0-s-5028867824408518089.json,127,130,153,130,131,160,154,127,130,130,127,130
cluster-n40-c6-r1-s411588754582458831.json,95,95,122,97,100,120,115,95,95,95,95,95
cluster-n40-c6-r2-s8288385764484271288.json,139,139,156,140,142,151,150,139,139,139,139,139
cluster-n40-c6-r3-s-2921253008344135902.json,166,166,220,168,169,199,233,166,166,166,166,166
cluster-n40-c6-r4-s7488828594838425231.json,75,79,127,75,75,89,77,75,75,75,75,75
cluster-n40-c6-r5-s4596372347972036458.json,93,94,106,94,94,107,107,94,94,94,94,94
cluster-n40-c6-r6-s-8747184784460496663.json,131,131,143,131,131,143,145,131,131,131,131,131
cluster-n40-c6-r7-s3427327285231549752.json,37,37,64,37,42,48,47,39,37,39,39,39
cluster-n40-c6-r8-s-7384630835012497603.json,94,95,126,95,94,107,105,94,94,94,94,95
cluster-n40-c6-r9-s-4158492083279985546.json,239,239,299,240,246,297,263,253,239,246,246,239
cluster-n45-c6-r0-s-5037130244786906026.json,194,200,361,201,200,292,245,194,200,200,194,200
cluster-n45-c6-r1-s-2397444879181054479.json,123,123,160,126,124,154,142,126,123,123,123,123
cluster-n45-c6-r2-s5548806440414165063.json,132,133,165,133,134,144,158,133,133,132,133,132
cluster-n45-c6-r3-s-4555630980757443738.json,80,80,115,81,81,120,101,80,80,80,80,81
cluster-n45-c6-r4-s4741243550556205939.json,72,72,106,76,75,90,92,75,72,72,72,72
cluster-n45-c6-r5-s-7126645488794726834.json,169,171,205,169,173,189,188,169,169,169,169,174
cluster-n45-c6-r6-s7717975404813401053.json,209,210,256,209,213,246,239,210,209,213,210,210
cluster-n45-c6-r7-s-720989783287981324.json,76,76,86,76,77,89,83,76,76,76,76,76
cluster-n45-c6-r8-s-1111594517633967357.json,244,245,269,244,245,261,265,244,244,245,246,245
cluster-n45-c6-r9-s-4542833444194141465.json,148,148,206,149,151,175,212,148,148,148,148,148
cluster-n50-c7-r0-s-4985903243594861576.json,189,194,213,192,196,217,223,189,190,192,191,193
cluster-n50-c7-r1-s-7117529218541884335.json,104,110,139,110,109,126,118,106,105,105,107,104
cluster-n50-c7-r2-s-6980592279453373901.json,317,320,465,317,432,476,357,320,317,320,320,320
cluster-n50-c7-r3-s-9179882814198550284.json,266,266,419,266,298,325,314,266,266,266,266,266
cluster-n50-c7-r4-s-4049170888395328224.json,115,115,220,115,115,155,139,115,115,115,115,115
cluster-n50-c7-r5-s-4541562397257966288.json,201,205,469,205,207,456,230,201,204,205,204,202
cluster-n50-c7-r6-s8935749043229730807.json,147,147,163,150,150,197,177,147,147,147,147,147
cluster-n50-c7-r7-s6551831979849468160.json,158,162,350,163,165,198,178,158,159,159,165,163
cluster-n50-c7-r8-s-3110931530230810521.json,223,223,253,223,224,246,265,223,223,223,223,223
cluster-n50-c7-r9-s-2159917000513420551.json,207,208,225,208,223,227,235,207,208,208,207,208
cluster-n55-c7-r0-s-4994165663973249513.json,292,293,399,294,295,320,320,294,292,292,294,294
cluster-n55-c7-r1-s8520181221404153971.json,250,252,319,253,256,324,309,250,250,251,251,251
cluster-n55-c7-r2-s8726572470186071490.json,353,354,579,356,358,418,368,355,354,354,354,354
cluster-n55-c7-r3-s7632483291392660792.json,149,149,210,149,149,186,196,149,149,149,149,149
cluster-n55-c7-r4-s-6796755928382580220.json,87,87,121,87,87,112,105,87,87,87,87,87
cluster-n55-c7-r5-s2182163843979789332.json,335,349,388,338,335,375,362,337,335,335,335,337
cluster-n55-c7-r6-s6954165158794076907.json,265,265,320,266,268,298,297,266,265,265,265,266
cluster-n55-c7-r7-s2403514907034969788.json,139,139,252,144,144,171,186,140,140,140,140,141
cluster-n55-c7-r8-s3162104787147719725.json,61,61,161,63,66,85,74,61,61,61,61,61
